State,2018 Median Income,2019 Estimate
Maryland,83242.0,6045680
New Jersey,81740.0,8882190
Hawaii,80212.0,1415872
Massachusetts,79835.0,6892503
Connecticut,76348.0,3565287
California,75277.0,39512223
New Hampshire,74991.0,1359711
Alaska,74346.0,731545
Washington,74073.0,7614893
Virginia,72577.0,8535519
Colorado,71953.0,5758736
Utah,71414.0,3205958
Minnesota,70315.0,5639632
New York,67844.0,19453561
Illinois,65030.0,12671821
Delaware,64805.0,973764
Rhode Island,64340.0,1059361
North Dakota,63837.0,762062
Oregon,63426.0,4217737
Wyoming,61584.0,578759
Pennsylvania,60905.0,12801989
Vermont,60782.0,623989
Wisconsin,60773.0,5822434
Texas,60629.0,28995881
Iowa,59955.0,3155070
Nebraska,59566.0,1934408
Arizona,59246.0,7278717
Georgia,58756.0,10617423
Nevada,58646.0,3080156
Kansas,58218.0,2913314
Michigan,56697.0,9986857
South Dakota,56274.0,884659
Ohio,56111.0,11689100
Indiana,55746.0,6732219
Maine,55602.0,1344212
Idaho,55583.0,1787065
Florida,55462.0,21477737
Montana,55328.0,1068778
Missouri,54478.0,6137428
North Carolina,53855.0,10488084
Tennessee,52375.0,6829174
South Carolina,52306.0,5148714
Oklahoma,51924.0,3956971
Kentucky,50247.0,4467673
Alabama,49861.0,4903185
Louisiana,47905.0,4648794
New Mexico,47169.0,2096829
Arkansas,47062.0,3017804
Mississippi,44717.0,2976149
West Virginia,44097.0,1792147
